participant,item_type,list_id,string,font,stim_file,key_resp_2.rt,key_resp_2.corr,base
27851,RL,3,ebiwent,cursive,ebiwent_c.png,1.2264,1,EVIDENT
27851,TL,3,radiply,print,radiply_p.png,1.1244,1,RAPIDLY
27851,RL,3,cenesony,cursive,cenesony_c.png,2.1388,1,CEREMONY
27851,TL,3,adacemy,print,adacemy_p.png,1.6072,1,ACADEMY
27851,TL,3,grafetul,cursive,grafetul_c.png,2.5939,1,GRATEFUL
27851,TL,3,veretan,cursive,veretan_c.png,2.8535,1,VETERAN
27851,RL,3,afaneur,print,afaneur_p.png,0.8274,1,AMATEUR
27851,RL,3,opcifal,cursive,opcifal_c.png,1.694,1,OPTIMAL
27851,RL,3,docirant,print,docirant_p.png,0.8294,1,DOMINANT
27851,TL,3,distupe,print,distupe_p.png,0.7094,1,DISPUTE
27851,TL,3,elarobate,print,elarobate_p.png,0.8743,1,ELABORATE
27851,RL,3,recile,print,recile_p.png,0.7293,1,RETIRE
27851,RL,3,cobeny,print,cobeny_p.png,0.7278,1,COMEDY
27851,RL,3,helicage,cursive,helicage_c.png,1.294,1,HERITAGE
27851,RL,3,trilude,print,trilude_p.png,0.7812,1,TRIBUTE
27851,TL,3,marnigal,print,marnigal_p.png,1.0252,1,MARGINAL
27851,RL,3,procogal,print,procogal_p.png,1.1742,1,PROPOSAL
27851,RL,3,formuke,cursive,formuke_c.png,2.0638,1,FORTUNE
27851,TL,3,sanile,cursive,sanile_c.png,1.1449,1,SALINE
27851,RL,3,quafidy,print,quafidy_p.png,0.7448,1,QUALITY
27851,RL,3,capefory,cursive,capefory_c.png,1.6083,1,CATEGORY
27851,TL,3,cacapity,cursive,cacapity_c.png,2.3296,1,CAPACITY
27851,TL,3,decilate,print,decilate_p.png,1.0241,1,DELICATE
27851,TL,3,moredate,cursive,moredate_c.png,1.1767,1,MODERATE
27851,TL,3,cateferia,print,cateferia_p.png,0.8266,1,CAFETERIA
27851,RL,3,cocewage,print,cocewage_p.png,0.8236,1,COVERAGE
27851,TL,3,locigal,cursive,locigal_c.png,1.4756,1,LOGICAL
