counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_done_touch_3.clicked_name,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list1_trials.thisRepN,list1_trials.thisTrialN,list1_trials.thisN,list1_trials.thisIndex,list1_trials.ran,list_id,item_type,string,font,stim_file,break_done_touch.clicked_name,End.started,End.stopped
list1,,0.516,0.516,31651,001,2025-10-18_19h46.19.365,HW_LDT_1,2024.2.4,Win32,111.1111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31651,001,2025-10-18_19h46.19.365,HW_LDT_1,2024.2.4,Win32,111.1111111,0.5355,2.1554,,-0.026041667,-0.372916667,1,0,0,instr_done_button,0,0,0,0,1,1,instructions,"INSTRUCTIONS
At the start of each trial, look at the plus sign  (+) in the center of the screen.  This tells you that a trial is about to begin and where to look. Second, the plus sign will disappear and a string of letters will appear. Your task is to determine if the string of letters is a word or not. If the item is a word press the M key (on keyboard)  or touch the word button (phone/tablet).  If the item is not a word,  press the  Z key (on keyboard)  or touch the nonword button (on phone/tablet). The items will be presented for a short time. 
Press the space bar or touch  continue.",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31651,001,2025-10-18_19h46.19.365,HW_LDT_1,2024.2.4,Win32,111.1111111,2.157,3.1228,,-0.024479167,-0.355208333,1,0,0,instr_done_button,0,1,1,1,1,2,instructions,"If your device has a keyboard, press the 'Z' key for nonwords and the 'M' key for words.





Press the space bar or touch the button below to continue.",0,keyboard-example.gif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31651,001,2025-10-18_19h46.19.365,HW_LDT_1,2024.2.4,Win32,111.1111111,3.1245,14.2993,,0.030208333,-0.400520833,1,0,0,instr_done_button,0,2,2,2,1,3,instructions,"If you are using a touchscreen only device, use the buttons on the screen. Do not use the mouse.





Press the space bar or touch the button below to continue.",0,touchscreen-example.gif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31651,001,2025-10-18_19h46.19.365,HW_LDT_1,2024.2.4,Win32,111.1111111,14.3008,30.1069,,0.140625,-0.396354167,1,0,0,instr_done_button,0,3,3,3,1,4,instructions,"It is very important that you respond as quickly and accurately as possible, as each letter string will only be on the screen for two seconds. If you do not respond within this time, the message 'Too slow!' will be displayed and the experiment will progress to the next letter string. The first 20 trials will be practice trials and you will receive feedback on your answers. 

Press the space bar or touch the button below to start the practice trials.",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31651,001,2025-10-18_19h46.19.365,HW_LDT_1,2024.2.4,Win32,111.1111111,,,,,,,,,,,,,,,,,,,,30.146,30.3053,30.3055,30.8061,30.8064,32.6675,,0,[-0.46041666666666664],[-0.3177083333333333],[1],[0],[0],[1.858300000071523],"[""button_left""]",1.8583,1,32.6679,33.1686,0,0,0,12,1,1013,NW,UN,33,adveil,SPRINY,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31651,001,2025-10-18_19h46.19.365,HW_LDT_1,2024.2.4,Win32,111.1111111,,,,,,,,,,,,,,,,,,,,33.1698,33.3684,33.3685,33.8689,33.8705,35.1458,,0,[0.3796875],[-0.3125],[1],[0],[0],[1.2747000000476874],"[""button_right""]",1.2747,1,35.1458,35.6466,0,1,1,7,1,1008,WORD,UN,16,hurdle,VOLUME,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31651,001,2025-10-18_19h46.19.365,HW_LDT_1,2024.2.4,Win32,111.1111111,,,,,,,,,,,,,,,,,,,,35.6476,35.847,35.847,36.348,36.3492,37.4411,,0,[-0.4244791666666667],[-0.3020833333333333],[1],[0],[0],[1.091200000047678],"[""button_left""]",1.0912,1,37.4412,37.942,0,2,2,13,1,1014,NW,UN,33,winfer,ROUPET,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31651,001,2025-10-18_19h46.19.365,HW_LDT_1,2024.2.4,Win32,111.1111111,,,,,,,,,,,,,,,,,,,,37.9433,38.1422,38.1422,38.6428,38.6439,39.5192,,0,[0.37916666666666665],[-0.3125],[1],[0],[0],[0.8743999999761627],"[""button_right""]",0.8744,1,39.5194,40.0202,0,3,3,3,1,1004,WORD,"ID",16,matrix,MATRIX,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31651,001,2025-10-18_19h46.19.365,HW_LDT_1,2024.2.4,Win32,111.1111111,,,,,,,,,,,,,,,,,,,,40.0218,40.2203,40.2203,40.7215,40.7227,41.6555,,0,[0.3859375],[-0.31145833333333334],[1],[0],[0],[0.9322999999523205],"[""button_right""]",0.9323,1,41.6556,42.1567,0,4,4,4,1,1005,WORD,UN,33,abound,SQUEAK,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31651,001,2025-10-18_19h46.19.365,HW_LDT_1,2024.2.4,Win32,111.1111111,,,,,,,,,,,,,,,,,,,,42.1575,42.3566,42.3567,42.8574,42.858,43.6087,,0,[0.3875],[-0.3067708333333333],[1],[0],[0],[0.75],"[""button_right""]",0.75,1,43.6088,44.1094,0,5,5,0,1,1001,WORD,"ID",33,utopia,UTOPIA,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31651,001,2025-10-18_19h46.19.365,HW_LDT_1,2024.2.4,Win32,111.1111111,,,,,,,,,,,,,,,,,,,,44.1107,44.3097,44.3097,44.8104,44.8115,45.4781,,0,[0.4010416666666667],[-0.31354166666666666],[1],[0],[0],[0.6657999999523128],"[""button_right""]",0.6658,1,45.4782,45.9795,0,6,6,6,1,1007,WORD,UN,16,tropic,ZOMBIE,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31651,001,2025-10-18_19h46.19.365,HW_LDT_1,2024.2.4,Win32,111.1111111,,,,,,,,,,,,,,,,,,,,45.9806,46.1798,46.1799,46.6801,46.681,47.573,,0,[-0.4140625],[-0.30104166666666665],[1],[0],[0],[0.8913999999761586],"[""button_left""]",0.8914,1,47.5731,48.0741,0,7,7,11,1,1012,NW,"ID",16,rashet,RASHET,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31651,001,2025-10-18_19h46.19.365,HW_LDT_1,2024.2.4,Win32,111.1111111,,,,,,,,,,,,,,,,,,,,48.0756,48.2739,48.2739,48.7748,48.7757,49.4841,,0,[0.37864583333333335],[-0.3078125],[1],[0],[0],[0.707800000071515],"[""button_right""]",0.7078,1,49.4842,49.9854,0,8,8,1,1,1002,WORD,"ID",33,adjust,ADJUST,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
