counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,response.rt,response.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list2_trials.thisRepN,list2_trials.thisTrialN,list2_trials.thisN,list2_trials.thisIndex,list2_trials.ran,list_id,item_type,string,font,stim_file,key_resp_probe.rt,key_resp_probe.duration,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
list2,,0.472,0.4721,31869,001,2025-10-16_13h13.26.973,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31869,001,2025-10-16_13h13.26.973,HW_LDT_1,2024.2.4,MacIntel,59.52380952,0.4933,93.0472,space,92.5298,,0.202903972,-0.386085419,0,0,0,0,0,0,0,1,1,instructions,"INSTRUCTIONS
At the start of each trial, look at the plus sign  (+) in the center of the screen.  This tells you that a trial is about to begin and where to look. Second, the plus sign will disappear and a string of letters will appear. Your task is to determine if the string of letters is a word or not. If the item is a word press the M key (on keyboard)  or touch the word button (phone/tablet).  If the item is not a word,  press the  Z key (on keyboard)  or touch the nonword button (on phone/tablet). The items will be presented for a short time. 
Press the space bar or touch  continue.",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31869,001,2025-10-16_13h13.26.973,HW_LDT_1,2024.2.4,MacIntel,59.52380952,93.05,97.0632,space,3.9877,,0.202903972,-0.385830386,0,0,0,0,1,1,1,1,2,instructions,"If your device has a keyboard, press the 'Z' key for nonwords and the 'M' key for words.





Press the space bar or touch the button below to continue.",0,keyboard-example.gif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31869,001,2025-10-16_13h13.26.973,HW_LDT_1,2024.2.4,MacIntel,59.52380952,97.0655,98.1469,space,1.0626,,0.202903972,-0.385830386,0,0,0,0,2,2,2,1,3,instructions,"If you are using a touchscreen only device, use the buttons on the screen. Do not use the mouse.





Press the space bar or touch the button below to continue.",0,touchscreen-example.gif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31869,001,2025-10-16_13h13.26.973,HW_LDT_1,2024.2.4,MacIntel,59.52380952,98.1496,111.3467,space,13.1777,,0.189344736,-0.384712493,0,0,0,0,3,3,3,1,4,instructions,"It is very important that you respond as quickly and accurately as possible, as each letter string will only be on the screen for two seconds. If you do not respond within this time, the message 'Too slow!' will be displayed and the experiment will progress to the next letter string. The first 20 trials will be practice trials and you will receive feedback on your answers. 

Press the space bar or touch the button below to start the practice trials.",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31869,001,2025-10-16_13h13.26.973,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,111.3804,111.5454,111.5458,112.0457,112.0461,115.6467,z,1,3.5692,,[],[],[],[],[],[],[],3.5692,1,115.647,116.1467,0,0,0,8,1,1009,NW,"ID",33,aslert,ASLERT,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31869,001,2025-10-16_13h13.26.973,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,116.1482,116.3462,116.3463,116.8462,116.8472,119.1129,z,1,2.2541,,[],[],[],[],[],[],[],2.2541,1,119.1131,119.613,0,1,1,13,1,1014,NW,UN,33,winfer,ROUPET,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31869,001,2025-10-16_13h13.26.973,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,119.6145,119.8119,119.8119,120.3129,120.314,124.8464,m,1,4.5101,,[],[],[],[],[],[],[],4.5101,1,124.8465,125.3462,0,2,2,4,1,1005,WORD,UN,33,abound,SQUEAK,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31869,001,2025-10-16_13h13.26.973,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,125.3477,125.5462,125.5463,126.0462,126.0473,127.7631,z,1,1.7005,,[],[],[],[],[],[],[],1.7005,1,127.7633,128.2627,0,3,3,15,1,1016,NW,UN,16,mushed,WHAISE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31869,001,2025-10-16_13h13.26.973,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,128.2642,128.4619,128.4621,128.9619,128.9629,130.2298,m,1,1.2441,,[],[],[],[],[],[],[],1.2441,1,130.23,130.7288,0,4,4,3,1,1004,WORD,"ID",16,matrix,MATRIX,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31869,001,2025-10-16_13h13.26.973,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,130.7301,130.9286,130.9287,131.4295,131.4307,132.663,m,1,1.2105,,[],[],[],[],[],[],[],1.2105,1,132.6632,133.1621,0,5,5,1,1,1002,WORD,"ID",33,adjust,ADJUST,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31869,001,2025-10-16_13h13.26.973,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,133.1637,133.363,133.363,133.8629,133.8639,136.8632,z,1,2.9774,,[],[],[],[],[],[],[],2.9774,1,136.8634,137.3621,0,6,6,9,1,1010,NW,"ID",33,fariny,FARINY,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31869,001,2025-10-16_13h13.26.973,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,137.3636,137.5632,137.5632,138.063,138.0639,139.0297,m,1,0.9502,,[],[],[],[],[],[],[],0.9502,1,139.0299,139.5297,0,7,7,2,1,1003,WORD,"ID",16,almond,ALMOND,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31869,001,2025-10-16_13h13.26.973,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,139.5312,139.7296,139.7297,140.2296,140.2306,141.0787,m,1,0.8284,,[],[],[],[],[],[],[],0.8284,1,141.079,141.5797,0,8,8,5,1,1006,WORD,UN,33,frenzy,OBTAIN,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31869,001,2025-10-16_13h13.26.973,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,141.5811,141.7796,141.7796,142.2787,142.2797,143.1798,m,1,0.8887,,[],[],[],[],[],[],[],0.8887,1,143.1799,143.6798,0,9,9,7,1,1008,WORD,UN,16,hurdle,VOLUME,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31869,001,2025-10-16_13h13.26.973,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,143.6812,143.8787,143.8787,144.3797,144.3806,145.613,z,1,1.2078,,[],[],[],[],[],[],[],1.2078,1,145.6132,146.113,0,10,10,10,1,1011,NW,"ID",16,inlade,INLADE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31869,001,2025-10-16_13h13.26.973,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,146.1144,146.3129,146.313,146.8129,146.8142,147.88,m,1,1.0517,,[],[],[],[],[],[],[],1.0517,1,147.8802,148.3797,0,11,11,0,1,1001,WORD,"ID",33,utopia,UTOPIA,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31869,001,2025-10-16_13h13.26.973,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,148.3811,148.5796,148.5796,149.0788,149.0797,151.213,z,1,2.1214,,[],[],[],[],[],[],[],2.1214,1,151.2132,151.7131,0,12,12,12,1,1013,NW,UN,33,adveil,SPRINY,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31869,001,2025-10-16_13h13.26.973,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,151.7146,151.9129,151.913,152.412,152.4129,155.0131,z,1,2.59,,[],[],[],[],[],[],[],2.59,1,155.0132,155.513,0,13,13,14,1,1015,NW,UN,16,miaber,THRALE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31869,001,2025-10-16_13h13.26.973,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,155.5144,155.713,155.713,156.2129,156.2138,157.0794,m,1,0.8544,,[],[],[],[],[],[],[],0.8544,1,157.0796,157.5797,0,14,14,6,1,1007,WORD,UN,16,tropic,ZOMBIE,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31869,001,2025-10-16_13h13.26.973,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,157.5812,157.7796,157.7797,158.2797,158.2806,160.3798,z,1,2.0749,,[],[],[],[],[],[],[],2.0749,1,160.38,160.8788,0,15,15,11,1,1012,NW,"ID",16,rashet,RASHET,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31869,001,2025-10-16_13h13.26.973,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback. On some trials you will be asked to report whether the item you just saw was in cursive or print. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
 When you are ready to start the experimental trials, please press space or touch the button below.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.887,196.2307,space,35.3133,,0.164593818,-0.395670396,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31869,001,2025-10-16_13h13.26.973,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,196.2482,196.4289,196.429,196.93,,,,,,,,,,,,,,2.8007,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,1,0,196.9317,199.7472,m,1,2.8007,,[],[],[],[],[],[],[],199.7476,201.7469,201.7471,201.751,[],[],[],[],[],[],[],,201.7511,201.7533,0.164593818,-0.395670396,0,0,0,,0,0,0,159,1,2,word,VETERAN,print,veteran_p.png,,,,,,
,,,,31869,001,2025-10-16_13h13.26.973,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,201.7547,201.9465,201.9465,202.4456,,,,,,,,,,,,,,1.821,0,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,2,0,202.4464,204.28,m,0,1.821,,[],[],[],[],[],[],[],204.2801,206.2799,206.28,206.2802,[],[],[],[],[],[],[],,206.2803,206.2804,0.164593818,-0.395670396,0,0,0,,0,1,1,69,1,2,TL,resufal,cursive,resufal_c.png,,,,,,
,,,,31869,001,2025-10-16_13h13.26.973,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,206.2817,206.4798,206.4799,206.9799,,,,,,,,,,,,,,0.7649,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,3,0,206.9805,207.7467,m,1,0.7649,,[],[],[],[],[],[],[],207.7468,209.7466,209.7467,209.747,[],[],[],[],[],[],[],,209.7471,209.7472,0.164593818,-0.395670396,0,0,0,,0,2,2,114,1,2,word,LOCATE,print,locate_p.png,,,,,,
,,,,31869,001,2025-10-16_13h13.26.973,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,209.7484,209.9465,209.9466,210.4466,,,,,,,,,,,,,,0.882,0,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,4,1,210.4473,211.3305,m,0,0.882,,[],[],[],[],[],[],[],211.3306,213.3299,213.33,216.5292,[],[],[],[],[],[],[],m,216.5293,216.5296,0.164593818,-0.395670396,0,0,0,,0,3,3,19,1,2,RL,monebate,cursive,monebate_c.png,3.1878,,,,,
,,,,31869,001,2025-10-16_13h13.26.973,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,216.5311,216.7299,216.73,217.2298,,,,,,,,,,,,,,1.5868,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,5,1,217.2306,218.83,z,1,1.5868,,[],[],[],[],[],[],[],218.8302,220.8299,220.8299,223.1135,[],[],[],[],[],[],[],m,223.1135,223.1137,0.164593818,-0.395670396,0,0,0,,0,4,4,48,1,2,TL,detabe,print,detabe_p.png,2.2714,,,,,
,,,,31869,001,2025-10-16_13h13.26.973,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,223.1151,223.3132,223.3133,223.8132,,,,,,,,,,,,,,3.1898,1,,,,,,,,,,,,,,z,,,,,,,,,,,,,,,,6,0,223.8139,227.0135,z,1,3.1898,,[],[],[],[],[],[],[],227.0136,229.0133,229.0134,229.0138,[],[],[],[],[],[],[],,229.0139,229.0141,0.164593818,-0.395670396,0,0,0,,0,5,5,5,1,2,RL,clisimal,cursive,clisimal_c.png,,,,,,
,,,,31869,001,2025-10-16_13h13.26.973,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,229.0155,229.2133,229.2134,229.7133,,,,,,,,,,,,,,1.8366,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,7,0,229.714,231.5635,m,1,1.8366,,[],[],[],[],[],[],[],231.5637,233.5634,233.5634,233.5637,[],[],[],[],[],[],[],,233.5637,233.5639,0.164593818,-0.395670396,0,0,0,,0,6,6,98,1,2,word,CRIMINAL,cursive,criminal_c.png,,,,,,
,,,,31869,001,2025-10-16_13h13.26.973,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,233.5652,233.7633,233.7634,234.2633,,,,,,,,,,,,,,1.682,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,8,0,234.2639,235.9472,m,1,1.682,,[],[],[],[],[],[],[],235.9473,237.9467,237.9468,237.9472,[],[],[],[],[],[],[],,237.9472,237.9474,0.164593818,-0.395670396,0,0,0,,0,7,7,143,1,2,word,REMOVAL,print,removal_p.png,,,,,,
,,,,31869,001,2025-10-16_13h13.26.973,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,237.9487,238.1467,238.1467,238.6466,,,,,,,,,,,,,,1.3538,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,9,0,238.6474,240.0134,m,1,1.3538,,[],[],[],[],[],[],[],240.0136,242.0134,242.0134,242.0138,[],[],[],[],[],[],[],,242.0138,242.014,0.164593818,-0.395670396,0,0,0,,0,8,8,110,1,2,word,HERITAGE,print,heritage_p.png,,,,,,
,,,,31869,001,2025-10-16_13h13.26.973,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,242.0153,242.2134,242.2134,242.7134,,,,,,,,,,,,,,0.9038,1,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,10,1,242.714,243.6302,m,1,0.9038,,[],[],[],[],[],[],[],243.6303,245.63,245.6301,247.3468,[],[],[],[],[],[],[],m,247.3469,247.3472,0.164593818,-0.395670396,0,0,0,,0,9,9,104,1,2,word,DOMINANT,print,dominant_p.png,1.7144,,,,,
,,,,31869,001,2025-10-16_13h13.26.973,HW_LDT_1,2024.2.4,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,247.3485,247.5467,247.5467,248.0467,,,,,,,,,,,,,,3.6542,0,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,11,0,248.0473,251.7135,z,0,3.6542,,[],[],[],[],[],[],[],251.7136,253.7133,253.7134,253.7137,[],[],[],[],[],[],[],,253.7137,253.7139,0.164593818,-0.395670396,0,0,0,,0,10,10,139,1,2,word,REGULAR,cursive,regular_c.png,,,,,,
