counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,key_resp.rt,key_resp.duration,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,response.rt,response.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list3_trials.thisRepN,list3_trials.thisTrialN,list3_trials.thisN,list3_trials.thisIndex,list3_trials.ran,list_id,item_type,string,font,stim_file,break_done_touch.clicked_name,End.started,End.stopped
list3,,0.5508,0.5509,32151,001,2025-10-16_21h06.54.726,HW_LDT_1,2024.2.4,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32151,001,2025-10-16_21h06.54.726,HW_LDT_1,2024.2.4,Win32,60.24096386,0.5635,71.5061,,-0.066666667,-0.379999987,1,0,0,instr_done_button,0,0,0,0,1,1,instructions,"INSTRUCTIONS
At the start of each trial, look at the plus sign  (+) in the center of the screen.  This tells you that a trial is about to begin and where to look. Second, the plus sign will disappear and a string of letters will appear. Your task is to determine if the string of letters is a word or not. If the item is a word press the M key (on keyboard)  or touch the word button (phone/tablet).  If the item is not a word,  press the  Z key (on keyboard)  or touch the nonword button (on phone/tablet). The items will be presented for a short time. 
Press the space bar or touch  continue.",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32151,001,2025-10-16_21h06.54.726,HW_LDT_1,2024.2.4,Win32,60.24096386,71.5076,79.2539,space,-0.066666667,-0.379999987,0,0,0,,0,1,1,1,1,2,instructions,"If your device has a keyboard, press the 'Z' key for nonwords and the 'M' key for words.





Press the space bar or touch the button below to continue.",0,keyboard-example.gif,7.7274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32151,001,2025-10-16_21h06.54.726,HW_LDT_1,2024.2.4,Win32,60.24096386,79.2553,89.6706,space,-0.066666667,-0.379999987,0,0,0,,0,2,2,2,1,3,instructions,"If you are using a touchscreen only device, use the buttons on the screen. Do not use the mouse.





Press the space bar or touch the button below to continue.",0,touchscreen-example.gif,10.3886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32151,001,2025-10-16_21h06.54.726,HW_LDT_1,2024.2.4,Win32,60.24096386,89.6776,108.5537,space,-0.066666667,-0.379999987,0,0,0,,0,3,3,3,1,4,instructions,"It is very important that you respond as quickly and accurately as possible, as each letter string will only be on the screen for two seconds. If you do not respond within this time, the message 'Too slow!' will be displayed and the experiment will progress to the next letter string. The first 20 trials will be practice trials and you will receive feedback on your answers. 

Press the space bar or touch the button below to start the practice trials.",0,,18.8632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32151,001,2025-10-16_21h06.54.726,HW_LDT_1,2024.2.4,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,108.572,108.7539,108.754,109.2538,109.2539,111.673,m,1,2.4006,,[],[],[],[],[],[],[],2.4006,1,111.6732,112.1717,0,0,0,4,1,1005,WORD,UN,33,abound,SQUEAK,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32151,001,2025-10-16_21h06.54.726,HW_LDT_1,2024.2.4,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,112.173,112.3711,112.3711,112.8728,112.8737,115.7048,,0,,,[-0.2758333206176758],[-0.3150000254313151],[1],[0],[0],[2.8303999999910445],"[""button_left""]",2.8304,1,115.705,116.2051,0,1,1,13,1,1014,NW,UN,33,winfer,ROUPET,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32151,001,2025-10-16_21h06.54.726,HW_LDT_1,2024.2.4,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,116.2063,116.4049,116.405,116.9058,116.9065,118.1742,,0,,,[0.3150000254313151],[-0.31666666666666665],[1],[0],[0],[1.267100000008952],"[""button_right""]",1.2671,1,118.1742,118.6744,0,2,2,0,1,1001,WORD,"ID",33,utopia,UTOPIA,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32151,001,2025-10-16_21h06.54.726,HW_LDT_1,2024.2.4,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,118.6755,118.8738,118.8738,119.3716,119.3729,120.7573,,0,,,[-0.29249998728434246],[-0.35],[1],[0],[0],[1.3838000000119166],"[""button_left""]",1.3838,1,120.7575,121.2562,0,3,3,14,1,1015,NW,UN,16,miaber,THRALE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32151,001,2025-10-16_21h06.54.726,HW_LDT_1,2024.2.4,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,121.2573,121.4547,121.4549,121.9546,121.9556,122.9235,,0,,,[0.3308333079020182],[-0.32083333333333336],[1],[0],[0],[0.9672999999970386],"[""button_right""]",0.9673,1,122.9236,123.4236,0,4,4,3,1,1004,WORD,"ID",16,matrix,MATRIX,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32151,001,2025-10-16_21h06.54.726,HW_LDT_1,2024.2.4,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,123.4244,123.6231,123.6231,124.1233,124.1242,125.2913,,0,,,[0.3541666666666667],[-0.32250003814697265],[1],[0],[0],[1.166499999999985],"[""button_right""]",1.1665,1,125.2915,125.7887,0,5,5,5,1,1006,WORD,UN,33,frenzy,OBTAIN,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32151,001,2025-10-16_21h06.54.726,HW_LDT_1,2024.2.4,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,125.7898,125.9895,125.9895,126.4884,126.489,127.2662,,0,,,[0.34833335876464844],[-0.3333333333333333],[1],[0],[0],[0.7765999999940334],"[""button_right""]",0.7766,1,127.2665,127.7566,0,6,6,6,1,1007,WORD,UN,16,tropic,ZOMBIE,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32151,001,2025-10-16_21h06.54.726,HW_LDT_1,2024.2.4,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,127.7576,127.9566,127.9566,128.455,128.4704,129.7411,,0,,,[-0.3091666539510091],[-0.32416667938232424],[1],[0],[0],[1.269200000002968],"[""button_left""]",1.2692,1,129.7413,130.2381,0,7,7,9,1,1010,NW,"ID",33,fariny,FARINY,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32151,001,2025-10-16_21h06.54.726,HW_LDT_1,2024.2.4,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,130.2392,130.4384,130.4385,130.9381,130.9391,131.9383,,0,,,[0.2733333587646484],[-0.30166670481363933],[1],[0],[0],[0.9984000000059439],"[""button_right""]",0.9984,0,131.9393,132.4386,0,8,8,10,1,1011,NW,"ID",16,inlade,INLADE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32151,001,2025-10-16_21h06.54.726,HW_LDT_1,2024.2.4,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,132.4395,132.6409,132.641,133.1387,133.1393,134.4421,,0,,,[-0.2808333396911621],[-0.3025000254313151],[1],[0],[0],[1.302000000000021],"[""button_left""]",1.302,1,134.4428,134.9389,0,9,9,12,1,1013,NW,UN,33,adveil,SPRINY,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
