counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,key_resp.rt,key_resp.duration,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,response.rt,response.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_done_touch_3.clicked_name,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,key_resp_probe.rt,key_resp_probe.duration,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list3_trials.thisRepN,list3_trials.thisTrialN,list3_trials.thisN,list3_trials.thisIndex,list3_trials.ran,list_id,item_type,string,font,stim_file,break_done_keyboard.rt,break_done_keyboard.duration,End.started,End.stopped
list3,,0.481,0.481,32152,001,2025-10-16_15h20.38.084,HW_LDT_1,2024.2.4,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32152,001,2025-10-16_15h20.38.084,HW_LDT_1,2024.2.4,MacIntel,62.5,0.496,19.19,,-0.128042328,-0.384656085,1,0,0,instr_done_button,0,0,0,0,1,1,instructions,"INSTRUCTIONS
At the start of each trial, look at the plus sign  (+) in the center of the screen.  This tells you that a trial is about to begin and where to look. Second, the plus sign will disappear and a string of letters will appear. Your task is to determine if the string of letters is a word or not. If the item is a word press the M key (on keyboard)  or touch the word button (phone/tablet).  If the item is not a word,  press the  Z key (on keyboard)  or touch the nonword button (on phone/tablet). The items will be presented for a short time. 
Press the space bar or touch  continue.",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32152,001,2025-10-16_15h20.38.084,HW_LDT_1,2024.2.4,MacIntel,62.5,19.191,22.965,space,-0.128042328,-0.384656085,0,0,0,,0,1,1,1,1,2,instructions,"If your device has a keyboard, press the 'Z' key for nonwords and the 'M' key for words.





Press the space bar or touch the button below to continue.",0,keyboard-example.gif,3.737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32152,001,2025-10-16_15h20.38.084,HW_LDT_1,2024.2.4,MacIntel,62.5,22.966,23.918,space,-0.128042328,-0.384656085,0,0,0,,0,2,2,2,1,3,instructions,"If you are using a touchscreen only device, use the buttons on the screen. Do not use the mouse.





Press the space bar or touch the button below to continue.",0,touchscreen-example.gif,0.912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32152,001,2025-10-16_15h20.38.084,HW_LDT_1,2024.2.4,MacIntel,62.5,23.92,31.321,space,-0.128042328,-0.384656085,0,0,0,,0,3,3,3,1,4,instructions,"It is very important that you respond as quickly and accurately as possible, as each letter string will only be on the screen for two seconds. If you do not respond within this time, the message 'Too slow!' will be displayed and the experiment will progress to the next letter string. The first 20 trials will be practice trials and you will receive feedback on your answers. 

Press the space bar or touch the button below to start the practice trials.",0,,7.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32152,001,2025-10-16_15h20.38.084,HW_LDT_1,2024.2.4,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,31.341,31.513,31.513,32.013,32.014,32.864,m,1,0.833,,[],[],[],[],[],[],[],0.833,1,32.865,33.351,0,0,0,2,1,1003,WORD,"ID",16,almond,ALMOND,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32152,001,2025-10-16_15h20.38.084,HW_LDT_1,2024.2.4,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,33.352,33.554,33.554,34.052,34.053,34.814,z,1,0.747,,[],[],[],[],[],[],[],0.747,1,34.814,35.302,0,1,1,8,1,1009,NW,"ID",33,aslert,ASLERT,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32152,001,2025-10-16_15h20.38.084,HW_LDT_1,2024.2.4,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,35.303,35.502,35.502,36.004,36.005,36.733,z,1,0.716,,[],[],[],[],[],[],[],0.716,1,36.734,37.23,0,2,2,11,1,1012,NW,"ID",16,rashet,RASHET,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32152,001,2025-10-16_15h20.38.084,HW_LDT_1,2024.2.4,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,37.231,37.423,37.423,37.923,37.923,38.776,z,1,0.839,,[],[],[],[],[],[],[],0.839,1,38.776,39.272,0,3,3,12,1,1013,NW,UN,33,adveil,SPRINY,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32152,001,2025-10-16_15h20.38.084,HW_LDT_1,2024.2.4,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,39.273,39.475,39.475,39.975,39.976,40.568,m,1,0.574,,[],[],[],[],[],[],[],0.574,1,40.568,41.059,0,4,4,3,1,1004,WORD,"ID",16,matrix,MATRIX,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32152,001,2025-10-16_15h20.38.084,HW_LDT_1,2024.2.4,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,41.059,41.261,41.261,41.758,41.759,42.415,z,1,0.638,,[],[],[],[],[],[],[],0.638,1,42.415,42.919,0,5,5,13,1,1014,NW,UN,33,winfer,ROUPET,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32152,001,2025-10-16_15h20.38.084,HW_LDT_1,2024.2.4,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,42.92,43.122,43.122,43.613,43.614,44.179,z,1,0.556,,[],[],[],[],[],[],[],0.556,1,44.179,44.668,0,6,6,9,1,1010,NW,"ID",33,fariny,FARINY,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32152,001,2025-10-16_15h20.38.084,HW_LDT_1,2024.2.4,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,44.669,44.865,44.865,45.369,45.369,45.864,z,1,0.482,,[],[],[],[],[],[],[],0.482,1,45.865,46.368,0,7,7,14,1,1015,NW,UN,16,miaber,THRALE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
