counterbalance_lists.group,counterbalance_lists.remaining,get_list.started,get_list.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instructions.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,start_instr.thisRepN,start_instr.thisTrialN,start_instr.thisN,start_instr.thisIndex,start_instr.ran,pageN,phase,instruct_text,has_image,instruct_image,showProgress.started,showProgress.stopped,fix.started,fix.stopped,prac.started,prac.stopped,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,Instructions_expt.started,Instructions_expt.stopped,key_resp_3.keys,instr_done_touch_3.x,instr_done_touch_3.y,instr_done_touch_3.leftButton,instr_done_touch_3.midButton,instr_done_touch_3.rightButton,instr_done_touch_3.clicked_name,instr_experiment.thisRepN,instr_experiment.thisTrialN,instr_experiment.thisN,instr_experiment.thisIndex,instr_experiment.ran,trialID,flag,maintask.started,maintask.stopped,key_resp_2.keys,key_resp_2.corr,targ_click.x,targ_click.y,targ_click.leftButton,targ_click.midButton,targ_click.rightButton,targ_click.time,targ_click.clicked_name,ITI.started,ITI.stopped,probe.started,probe.stopped,click_probe.x,click_probe.y,click_probe.leftButton,click_probe.midButton,click_probe.rightButton,click_probe.time,click_probe.clicked_name,key_resp_probe.keys,Break.started,Break.stopped,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,list2_trials.thisRepN,list2_trials.thisTrialN,list2_trials.thisN,list2_trials.thisIndex,list2_trials.ran,list_id,item_type,string,font,stim_file,break_done_touch.clicked_name,End.started,End.stopped
list2,,5.301,5.301,32282,001,2025-12-02_21h23.16.809,HW_LDT_1,2024.2.4,MacIntel,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32282,001,2025-12-02_21h23.16.809,HW_LDT_1,2024.2.4,MacIntel,40,5.319,40.216,space,34.865,,0.00972973,-0.418918919,0,0,0,0,0,0,0,1,1,instructions,"INSTRUCTIONS
At the start of each trial, look at the plus sign  (+) in the center of the screen.  This tells you that a trial is about to begin and where to look. Second, the plus sign will disappear and a string of letters will appear. Your task is to determine if the string of letters is a word or not. If the item is a word press the M key (on keyboard)  or touch the word button (phone/tablet).  If the item is not a word,  press the  Z key (on keyboard)  or touch the nonword button (on phone/tablet). The items will be presented for a short time. 
Press the space bar or touch  continue.",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32282,001,2025-12-02_21h23.16.809,HW_LDT_1,2024.2.4,MacIntel,40,40.22,48.278,space,8.03,,-0.744864865,0.501081081,0,0,0,0,1,1,1,1,2,instructions,"If your device has a keyboard, press the 'Z' key for nonwords and the 'M' key for words.





Press the space bar or touch the button below to continue.",0,keyboard-example.gif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32282,001,2025-12-02_21h23.16.809,HW_LDT_1,2024.2.4,MacIntel,40,48.279,50.16,space,1.853,,-0.744864865,0.501081081,0,0,0,0,2,2,2,1,3,instructions,"If you are using a touchscreen only device, use the buttons on the screen. Do not use the mouse.





Press the space bar or touch the button below to continue.",0,touchscreen-example.gif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32282,001,2025-12-02_21h23.16.809,HW_LDT_1,2024.2.4,MacIntel,40,50.161,53.91,space,3.721,,-0.744864865,0.501081081,0,0,0,0,3,3,3,1,4,instructions,"It is very important that you respond as quickly and accurately as possible, as each letter string will only be on the screen for two seconds. If you do not respond within this time, the message 'Too slow!' will be displayed and the experiment will progress to the next letter string. The first 20 trials will be practice trials and you will receive feedback on your answers. 

Press the space bar or touch the button below to start the practice trials.",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32282,001,2025-12-02_21h23.16.809,HW_LDT_1,2024.2.4,MacIntel,40,,,,,,,,,,,,,,,,,,,,,53.93,54.104,54.104,54.604,54.605,58.698,,0,[-0.4702702702702703],[-0.29243243243243244],[1],[0],[0],[4.088999999999999],"[""button_left""]",4.089,1,58.699,59.205,0,0,0,15,1,1016,NW,UN,16,mushed,WHAISE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32282,001,2025-12-02_21h23.16.809,HW_LDT_1,2024.2.4,MacIntel,40,,,,,,,,,,,,,,,,,,,,,59.207,59.404,59.404,59.904,59.904,61.378,,0,[-0.46378378378378377],[-0.3075675675675676],[1],[0],[0],[1.4719999999999942],"[""button_left""]",1.472,1,61.378,61.871,0,1,1,14,1,1015,NW,UN,16,miaber,THRALE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32282,001,2025-12-02_21h23.16.809,HW_LDT_1,2024.2.4,MacIntel,40,,,,,,,,,,,,,,,,,,,,,61.874,62.071,62.071,62.571,62.571,63.544,,0,[0.5102702702702703],[-0.2891891891891892],[1],[0],[0],[0.9709999999999894],"[""button_right""]",0.971,1,63.544,64.037,0,2,2,3,1,1004,WORD,"ID",16,matrix,MATRIX,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32282,001,2025-12-02_21h23.16.809,HW_LDT_1,2024.2.4,MacIntel,40,,,,,,,,,,,,,,,,,,,,,64.039,64.237,64.237,64.737,64.739,65.761,,0,[0.518918918918919],[-0.2913513513513514],[1],[0],[0],[1.0210000000000008],"[""button_right""]",1.021,1,65.761,66.254,0,3,3,1,1,1002,WORD,"ID",33,adjust,ADJUST,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32282,001,2025-12-02_21h23.16.809,HW_LDT_1,2024.2.4,MacIntel,40,,,,,,,,,,,,,,,,,,,,,66.255,66.454,66.454,66.954,66.955,68.228,,0,[0.5221621621621622],[-0.28594594594594597],[1],[0],[0],[1.2710000000000008],"[""button_right""]",1.271,0,68.228,68.721,0,4,4,10,1,1011,NW,"ID",16,inlade,INLADE,z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
